entity_id,entity_type,timestamp,source_ip,geo_lat,geo_lon,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,country,failed_attempts,label
E0013,user,2026-06-01 05:54:35.936104930,176.9.187.247,2.9075173151656672,-19.245023925091967,res_17,biometric,348.2287830825755,1,b6:11:2b:da:d0:14,USA,0,normal
E0004,service_account,2026-06-01 06:20:41.366228771,77.52.75.100,-39.20960682056111,47.6325328354842,res_7,biometric,282.65178861180345,2,30:49:29:8a:66:7f,India,0,normal
E0055,edge_device,2026-06-01 06:22:37.034783523,53.123.182.14,6.11217995462505,-132.66484579282837,res_4,biometric,257.3220825143677,2,26:e6:6d:13:fe:66,Singapore,0,normal
E0002,user,2026-06-01 06:29:30.648157629,139.220.87.180,57.84991996975785,78.9434306787873,res_10,biometric,275.37700147882197,3,08:69:ef:e1:47:62,UK,0,normal
E0039,service_account,2026-06-01 06:37:14.450779147,93.31.88.37,40.79988669960058,-56.14197526972874,res_22,biometric,407.67347181106726,3,b6:df:e6:58:32:f5,UK,0,normal
E0037,edge_device,2026-06-01 06:39:19.978160276,106.118.131.15,24.304594480535158,9.32703159233248,res_9,password,253.9321460937523,2,04:ab:5a:5e:35:36,Japan,0,normal
E0108,user,2026-06-01 06:48:52.335527057,173.114.182.252,-41.53598931834425,-30.391272607626906,res_23,biometric,270.313143253987,1,3c:8a:be:7c:30:87,Brazil,0,normal
E0002,user,2026-06-01 06:52:10.011703146,216.55.231.241,57.84026778882628,78.95102922794712,res_9,biometric,353.26490757560146,2,08:69:ef:e1:47:62,UK,1,normal
E0083,user,2026-06-01 06:54:34.563321205,201.41.251.20,-75.01462417620255,-83.59238088132285,res_15,biometric,301.13097737669085,1,40:07:54:66:eb:e9,Brazil,0,normal
E0102,edge_device,2026-06-01 07:01:47.626256237,115.76.248.21,-24.819354026617006,92.50644728070719,res_36,certificate,343.8458471439915,2,0e:fc:a7:f2:61:15,UK,0,normal
E0103,user,2026-06-01 07:02:52.156295738,98.201.240.221,44.99859255065502,135.20171470604046,res_28,certificate,363.1517364809798,3,48:d4:1e:65:71:11,USA,0,normal
E0102,edge_device,2026-06-01 07:08:00.456175101,31.205.89.60,-24.81820486310163,92.5117127017424,res_36,certificate,347.43753594976613,4,0e:fc:a7:f2:61:15,UK,0,normal
E0092,user,2026-06-01 07:09:59.971807776,169.185.105.155,-69.76880383865593,161.6410123868707,res_36,token,243.15047190157352,5,e0:a8:4d:de:82:8e,Japan,0,normal
E0058,user,2026-06-01 07:11:51.327933020,73.186.154.129,9.364661204788076,86.31913228794808,res_33,certificate,317.5961588480102,5,06:91:d2:bf:32:d6,Japan,0,normal
E0072,user,2026-06-01 07:22:17.454489974,172.115.234.149,58.996871272094396,-93.93853833711665,res_30,biometric,269.373836854382,5,c4:30:f9:e3:2d:6e,Brazil,1,normal
E0055,edge_device,2026-06-01 07:22:41.454118176,213.191.238.85,6.1135602306483925,-132.6435273708601,res_39,biometric,306.5125605617063,4,26:e6:6d:13:fe:66,Singapore,0,normal
E0055,edge_device,2026-06-01 07:24:48.369313574,83.47.184.218,6.10457114774303,-132.6614284044721,res_4,biometric,302.00752625953817,1,26:e6:6d:13:fe:66,Singapore,0,normal
E0070,user,2026-06-01 07:26:14.834915208,212.115.31.163,-15.217476026773463,27.43429564679622,res_1,password,224.74263460984503,1,12:5f:a9:e1:3b:66,Japan,0,normal
E0103,user,2026-06-01 07:26:57.403695496,31.236.121.93,44.98410380361255,135.19695768460682,res_28,certificate,326.63281381304614,4,48:d4:1e:65:71:11,USA,0,normal
E0039,service_account,2026-06-01 07:28:56.599323469,47.53.59.241,40.809433879516384,-56.14180822896073,res_22,biometric,371.30359640688505,1,b6:df:e6:58:32:f5,UK,1,normal
E0083,user,2026-06-01 07:31:00.980213939,163.171.49.142,-75.02726556988014,-83.57527279371745,res_15,biometric,353.8103589519319,5,40:07:54:66:eb:e9,Brazil,0,normal
E0103,user,2026-06-01 07:31:17.157928741,70.252.12.83,45.00394327653662,135.21099047288737,res_28,certificate,344.4354520861828,3,48:d4:1e:65:71:11,USA,0,normal
E0003,edge_device,2026-06-01 07:34:52.498349070,168.66.192.119,-69.4105615838266,58.26758132490626,res_38,password,301.140019863729,4,1e:0c:d8:61:9c:19,Brazil,1,normal
E0103,user,2026-06-01 07:38:20.790890071,115.24.193.158,44.95965170108062,135.20471028053743,res_30,certificate,220.4694052990556,2,48:d4:1e:65:71:11,USA,0,normal
E0072,user,2026-06-01 07:38:22.295744863,173.246.204.237,58.995960655009306,-93.92827328065269,res_30,biometric,298.0848903213983,2,c4:30:f9:e3:2d:6e,Brazil,0,normal
E0083,user,2026-06-01 07:43:53.289667539,90.148.247.84,-75.03764542225416,-83.6129131540133,res_12,biometric,256.8508008454548,2,40:07:54:66:eb:e9,Brazil,0,normal
E0087,edge_device,2026-06-01 07:44:18.762598841,187.1.194.106,78.2939066077365,-69.84257184390633,res_30,certificate,329.6371123196232,5,9c:2c:3e:d7:f4:bc,India,1,normal
E0083,user,2026-06-01 07:46:30.518465490,70.158.147.182,-75.03523352580824,-83.58970845328034,res_12,biometric,326.51643897416454,3,40:07:54:66:eb:e9,Brazil,0,normal
E0083,user,2026-06-01 07:47:19.931140220,140.121.57.214,-75.03860529527151,-83.59270756967094,res_37,biometric,304.6111129775261,5,40:07:54:66:eb:e9,Brazil,1,normal
E0074,user,2026-06-01 07:48:46.280645983,152.70.166.53,-73.77675420004321,96.50367186051565,res_24,password,455.37381852111685,4,98:27:99:05:6f:47,UK,0,normal
E0039,service_account,2026-06-01 07:49:58.374910859,119.91.61.162,40.80866313686433,-56.129578910334914,res_13,biometric,250.98385974076584,1,b6:df:e6:58:32:f5,UK,1,normal
E0092,user,2026-06-01 07:50:39.748265992,29.221.47.208,-69.76787031804658,161.6302719713127,res_3,token,353.39497995391014,5,e0:a8:4d:de:82:8e,Japan,0,normal
E0045,user,2026-06-01 07:52:19.822006195,25.77.144.215,47.31535377388027,176.67005344283805,res_16,password,312.6956982228236,1,f0:e0:d9:b8:21:b0,UK,0,normal
E0074,user,2026-06-01 07:55:13.290991515,123.189.13.135,-73.78208778203751,96.48117406471853,res_36,password,325.6984258324589,1,98:27:99:05:6f:47,UK,0,normal
E0035,user,2026-06-01 07:55:32.039655239,218.146.42.236,18.976864220975507,-63.864577989990664,res_27,password,219.87933847739393,2,a4:ee:5c:45:68:e7,India,0,normal
E0004,service_account,2026-06-01 07:55:38.885396031,68.35.76.216,-39.22298786179403,47.637511476825495,res_10,biometric,274.0434431671192,1,30:49:29:8a:66:7f,India,0,normal
E0072,user,2026-06-01 07:56:20.243668308,163.94.145.163,58.98348791550678,-93.93061452929007,res_7,biometric,352.8770868859661,4,c4:30:f9:e3:2d:6e,Brazil,0,normal
E0058,user,2026-06-01 07:57:48.326701117,142.24.131.34,9.384257185155889,86.34852035815594,res_38,certificate,310.22983410242585,4,06:91:d2:bf:32:d6,Japan,1,normal
E0037,edge_device,2026-06-01 07:57:55.134405407,79.162.94.218,24.316123147325364,9.35257800492814,res_9,password,240.09875755567253,1,04:ab:5a:5e:35:36,Japan,0,normal
E0045,user,2026-06-01 07:58:06.325511267,147.186.174.213,47.304418017624535,176.68126286547846,res_11,password,367.75946625237003,1,f0:e0:d9:b8:21:b0,UK,0,normal
E0103,user,2026-06-01 08:00:40.109626975,141.124.8.101,45.001462412905056,135.21327629535585,res_30,certificate,277.87224379932985,2,48:d4:1e:65:71:11,USA,0,normal
E0019,user,2026-06-01 08:01:39.833228193,64.247.161.255,-13.678575175481825,-109.91461012589807,res_34,password,152.59517658819124,3,ca:06:d3:b6:8a:14,Japan,0,normal
E0004,service_account,2026-06-01 08:03:24.995489517,179.66.32.48,-39.19902241261341,47.636302491954886,res_10,biometric,199.5897226805866,2,30:49:29:8a:66:7f,India,0,normal
E0037,edge_device,2026-06-01 08:04:56.222361391,156.12.76.226,24.324435803750653,9.331900115498996,res_9,password,384.5608464111348,2,04:ab:5a:5e:35:36,Japan,0,normal
E0019,user,2026-06-01 08:11:22.178950874,149.162.49.54,-13.688415418837872,-109.9317170512256,res_3,password,297.1325473575877,2,ca:06:d3:b6:8a:14,Japan,1,normal
E0057,service_account,2026-06-01 08:12:50.437942171,204.164.109.28,37.29651867046442,-91.21064305373103,res_33,token,330.4794796147526,3,62:ae:98:5e:82:6c,Japan,0,normal
E0002,user,2026-06-01 08:13:07.097937793,29.19.202.39,57.847741110389485,78.93511714657134,res_9,biometric,205.00234718778677,2,08:69:ef:e1:47:62,UK,0,normal
